game_start_time, game_end_time, court_number, list_of_player_ids
4,14,1,1,2
7,17,2,3,4
18,23,1,8,9
23,33,1,10,11
26,36,2,12,13
28,38,3,14,15
29,44,4,5,6,7,17
30,35,1,16,18
31,36,1,19,20
34,44,1,21,22
40,50,2,23,24
45,55,1,26,27
49,59,3,28,29
49,59,4,30,31
52,62,2,32,33
54,64,1,34,35
54,64,1,36,37
64,69,1,40,41
65,75,2,42,43
65,80,3,25,38,39,44
68,78,4,45,46
70,80,1,47,48
78,88,2,49,51
83,88,1,52,54
87,92,3,56,57
91,96,1,58,59
93,108,2,50,53,55,61
98,108,1,60,64
102,117,3,62,63,66,67
109,114,1,65,70
110,115,2,71,72
110,125,4,68,69,73,74
113,123,1,75,76
118,128,2,77,78
122,132,3,79,80
126,131,1,81,82
130,140,2,83,84
134,144,1,85,86
140,150,2,87,89
143,148,3,90,91
149,159,1,93,94
151,156,2,95,96
154,164,3,97,98
157,162,2,99,100
