game_start_time, game_end_time, court_number, list_of_player_ids
6,11,1,1,2
7,17,2,3,4
14,24,1,7,8
18,28,2,9,10
21,26,3,11,12
26,36,1,13,14
29,34,2,15,16
31,41,3,18,19
32,37,4,20,21
36,41,1,22,23
39,49,2,24,25
39,49,4,26,27
43,58,1,5,6,17,29
43,48,3,28,30
52,62,2,31,34
56,66,3,35,36
59,74,1,32,33,37,38
62,72,2,39,40
64,74,4,41,42
67,77,3,45,46
69,79,1,47,48
75,85,2,50,51
77,87,3,52,53
82,97,1,43,44,49,55
83,88,4,54,56
86,96,2,57,58
92,102,3,59,60
93,103,4,61,62
96,106,2,63,64
96,106,1,65,66
100,105,1,67,68
103,113,3,69,71
105,110,4,72,73
111,121,1,75,77
114,129,2,70,74,76,78
116,121,3,80,81
117,127,4,82,83
119,124,1,84,85
126,136,1,87,89
127,142,3,79,86,88,90
130,140,2,91,92
132,142,4,94,95
136,146,1,96,97
143,153,2,98,100
