game_start_time, game_end_time, court_number, list_of_player_ids
6,16,1,1,4
11,21,2,5,6
18,28,1,8,9
24,34,2,10,11
25,35,3,12,13
28,33,1,14,15
31,41,4,16,17
33,38,1,18,19
36,51,2,2,3,7,20
39,49,1,21,22
41,51,3,23,24
48,58,4,25,27
53,63,1,28,29
61,71,2,32,33
61,76,3,26,30,31,34
66,76,1,36,37
68,78,4,38,39
72,82,2,40,41
75,85,1,42,44
77,82,3,45,46
80,90,4,47,48
85,95,1,50,51
87,97,2,52,53
88,103,3,35,43,49,55
89,99,1,54,56
95,100,4,57,58
101,106,1,61,62
104,119,2,59,60,63,65
105,115,3,64,66
110,115,1,67,69
113,118,4,70,71
118,128,1,72,74
126,136,2,68,73,76,77
128,138,1,75,78
129,139,3,81,82
132,142,4,84,85
133,143,1,86,87
136,151,2,79,80,83,89
139,144,3,88,92
144,154,1,93,94
146,151,3,95,96
146,156,4,90,91,98,99
149,159,1,97,100
