game_start_time, game_end_time, court_number, list_of_player_ids
2,7,1,1,2
9,14,1,4,6
12,22,2,7,8
12,27,3,3,5,9,10
16,21,1,11,12
21,31,1,13,14
22,32,2,15,16
30,40,3,18,19
36,46,1,20,21
43,58,2,17,23,24,25
46,51,1,22,26
50,60,3,27,29
53,68,1,28,30,31,33
53,63,4,32,34
55,65,1,36,37
56,66,1,38,39
60,70,2,41,42
64,69,3,43,44
69,84,1,35,40,45,46
73,78,2,47,48
78,88,2,50,53
79,94,3,49,51,52,54
82,87,4,55,57
89,94,1,59,61
92,102,2,62,63
92,107,4,56,58,60,64
95,105,1,65,66
100,110,3,67,68
102,112,2,69,70
106,116,1,71,72
113,123,2,74,76
116,131,1,73,75,77,78
119,129,3,80,81
124,134,2,82,83
128,138,4,84,85
128,138,1,86,87
137,147,2,88,91
142,147,1,92,93
145,155,3,94,95
151,156,1,96,97
155,160,2,98,99
156,171,1,79,89,90,100
