game_start_time, game_end_time, court_number, list_of_player_ids
10,25,1,1,3,4,5
13,23,2,2,6
15,20,3,7,8
21,31,3,10,12
25,35,1,13,14
32,42,2,16,17
35,50,1,9,11,15,19
38,43,3,18,21
44,54,2,22,25
44,59,3,20,23,24,26
48,58,4,27,28
51,56,1,29,30
54,69,2,31,32,33,34
57,67,1,35,36
58,63,4,37,38
60,70,3,39,40
64,74,4,41,42
68,78,1,43,44
73,78,2,45,47
76,86,3,48,49
79,89,1,50,52
81,86,2,53,54
86,101,2,46,51,56,57
87,97,3,55,58
91,96,1,60,61
95,100,4,62,65
98,108,1,66,67
100,115,3,59,63,64,69
105,110,2,68,71
108,113,1,72,73
110,115,2,74,75
115,125,1,77,78
124,134,2,80,81
127,142,1,70,76,79,82
128,138,3,83,84
132,137,4,85,87
134,144,2,88,89
136,146,1,90,91
137,142,4,92,93
137,147,1,94,95
142,152,3,97,98
146,156,2,99,100
