game_start_time, game_end_time, court_number, list_of_player_ids
4,14,1,1,2
7,17,2,3,4
15,25,1,6,8
17,32,2,5,7,9,10
17,27,3,11,12
23,33,4,13,14
28,33,1,15,16
32,37,2,17,18
34,44,1,19,20
37,47,2,21,22
39,49,3,23,25
43,53,4,26,27
49,59,1,28,29
56,66,2,31,33
58,68,3,34,35
61,76,1,24,30,32,36
66,76,2,38,39
69,79,3,41,42
73,83,4,43,45
79,89,1,46,47
79,94,2,37,40,44,48
82,92,3,49,50
86,96,4,52,53
96,111,1,51,54,56,57
99,104,2,55,59
102,117,3,58,60,62,63
102,112,4,61,64
108,118,2,65,66
111,121,1,68,69
113,123,4,70,71
117,127,3,72,73
121,131,1,74,75
126,136,2,77,78
129,134,3,79,80
134,144,1,81,82
134,144,3,83,84
139,149,2,85,86
140,150,4,87,88
141,146,1,90,91
145,155,3,92,93
149,154,1,94,95
153,163,2,96,97
155,165,1,98,99
